global_step,sample_cursor,coverage_fraction,loss,grad_norm,learning_rate,processed_tokens,supervised_tokens,update_seconds,tokens_per_second,nvml_peak_bytes,allocated_peak_bytes,reserved_peak_bytes
1,16,0.0008,2.1265975656861955,1.2417984008789062,0.0,6951,5924,6.294746815692633,1104.254103226415,26585202688,23580095488,25482493952
2,32,0.0016,1.6949127944122246,1.2472448348999023,2.631578947368421e-06,6157,5319,5.555106814950705,1108.349525058527,26732003328,24150275584,25629294592
3,48,0.0024,1.8363312087648755,1.202357292175293,5.263157894736842e-06,6292,5288,5.896824017167091,1067.0150544907658,26732003328,24150275584,25629294592
4,64,0.0032,1.9719777104760874,1.3114441633224487,7.894736842105263e-06,6133,5292,5.622632771730423,1090.7701514556688,26732003328,24150275584,25629294592
5,80,0.004,2.0460462009984313,1.1864840984344482,1.0526315789473684e-05,7549,6303,6.9995496571063995,1078.4979562700528,28472639488,25577351168,27369930752
6,96,0.0048,2.0607483219953733,1.255531668663025,1.3157894736842106e-05,6588,5852,5.940330685116351,1109.0291684445112,28472639488,25577351168,27369930752
7,112,0.0056,2.0351140388631985,1.1812268495559692,1.5789473684210526e-05,7571,6366,6.754117340315133,1120.945879161577,28472639488,25577351168,27369930752
8,128,0.0064,2.116970014696212,1.1730214357376099,1.8421052631578947e-05,8081,6918,7.905831063166261,1022.156928909076,28472639488,25577351168,27369930752
9,144,0.0072,2.1631938815957303,1.2895526885986328,2.105263157894737e-05,7533,6383,6.8791001830250025,1095.0560101724602,28472639488,25577351168,27369930752
10,160,0.008,2.0933093937128797,1.2285466194152832,2.368421052631579e-05,7758,6619,7.294030965305865,1063.6094139030954,28472639488,25577351168,27369930752
11,176,0.0088,1.8150290441966597,1.2839535474777222,2.6315789473684212e-05,7246,6098,6.372450940310955,1137.0821161074987,28472639488,25577351168,27369930752
12,192,0.0096,1.6634834754049432,1.0083421468734741,2.8947368421052634e-05,6758,5681,6.415645114146173,1053.362503655159,28472639488,25577351168,27369930752
13,208,0.0104,1.600907908471354,0.8575329780578613,3.157894736842105e-05,6276,5352,5.729243846144527,1095.432515797597,28472639488,25577351168,27369930752
14,224,0.0112,1.8796115981354595,0.7728038430213928,3.421052631578947e-05,8214,7226,7.982123582158238,1029.0494647765233,28745269248,25885014528,27642560512
15,240,0.012,1.6485195300710482,0.7159013152122498,3.6842105263157895e-05,7080,5588,6.216656276024878,1138.875898174504,28745269248,25885014528,27642560512
16,256,0.0128,1.7260338724774396,0.5670639872550964,3.9473684210526316e-05,7711,6469,6.831664491910487,1128.714679874978,28745269248,25885014528,27642560512
17,272,0.0136,1.8323351752649584,0.45738187432289124,4.210526315789474e-05,7381,6156,6.942623397801071,1063.1427886953763,28745269248,25885014528,27642560512
18,288,0.0144,1.570099133514226,0.3074301481246948,4.473684210526316e-05,7461,6551,7.1240144381299615,1047.3027623395014,28745269248,25885014528,27642560512
19,304,0.0152,1.7532040460172573,0.2666104733943939,4.736842105263158e-05,8764,7851,8.273516775108874,1059.2835233460528,28745269248,25885014528,27642560512
20,320,0.016,1.5638597272703707,0.3435879051685333,5e-05,6475,5478,5.6803779900074005,1139.8889319320745,28745269248,25885014528,27642560512
21,336,0.0168,1.6839757714533858,0.40535399317741394,5.2631578947368424e-05,7026,6017,6.505096964072436,1080.0761370360049,28745269248,25885014528,27642560512
22,352,0.0176,1.6405568082428221,0.38637933135032654,5.526315789473685e-05,7660,6309,7.237988850101829,1058.305029012615,28745269248,25885014528,27642560512
23,368,0.0184,1.5518140291333138,0.49795854091644287,5.789473684210527e-05,7069,5971,6.1236727689392865,1154.3725908829806,28745269248,25885014528,27642560512
24,384,0.0192,1.7264670550089616,0.4212605953216553,6.052631578947369e-05,7602,6500,7.156488875858486,1062.2527515754814,28745269248,25885014528,27642560512
25,400,0.02,1.6387422624317776,0.42902088165283203,6.31578947368421e-05,7651,6684,7.073064731899649,1081.709314138446,28745269248,25885014528,27642560512
26,416,0.0208,1.64173929014403,0.39324167370796204,6.578947368421054e-05,6575,5565,5.546125261113048,1185.5123514971726,28745269248,25885014528,27642560512
27,432,0.0216,1.4690795283873275,0.3154597282409668,6.842105263157895e-05,7986,6753,7.57979774614796,1053.5901177651435,28745269248,25885014528,27642560512
28,448,0.0224,1.481215219114042,0.32355889678001404,7.105263157894737e-05,7344,5848,6.846620216034353,1072.6460309279043,28745269248,25885014528,27642560512
29,464,0.0232,1.5920049657834034,0.24690863490104675,7.368421052631579e-05,7937,6934,7.385022460017353,1074.742838355748,28745269248,25885014528,27642560512
30,480,0.024,1.4923995864838266,0.24422797560691833,7.631578947368422e-05,7399,6188,6.702541951090097,1103.909539692867,28745269248,25885014528,27642560512
31,496,0.0248,1.5250895382002003,0.2774544358253479,7.894736842105263e-05,7139,5913,6.248505712021142,1142.5131589886662,28745269248,25885014528,27646754816
32,512,0.0256,1.5092238133470655,0.2845102548599243,8.157894736842105e-05,7032,6101,6.13935910910368,1145.3964290136862,28749463552,25885014528,27646754816
33,528,0.0264,1.6382081458835795,0.25941935181617737,8.421052631578948e-05,8197,6870,7.375413545407355,1111.395306789847,28749463552,25885014528,27646754816
34,544,0.0272,1.411574806308492,0.2683838903903961,8.68421052631579e-05,7016,6001,6.527803320903331,1074.7872837304037,28749463552,25885014528,27646754816
35,560,0.028,1.5312830563828355,0.2392745465040207,8.947368421052632e-05,7691,6346,6.953600243199617,1106.0457505479317,28749463552,25885014528,27646754816
36,576,0.0288,1.6145019455801082,0.2741912007331848,9.210526315789474e-05,7424,6320,6.787083711009473,1093.8424095104901,28749463552,25885014528,27646754816
37,592,0.0296,1.4891652760554417,0.22780202329158783,9.473684210526316e-05,6676,5870,6.278294259216636,1063.3461453641687,28749463552,25885014528,27646754816
38,608,0.0304,1.4214815659280822,0.2229234129190445,9.736842105263158e-05,7662,6576,7.15191992605105,1071.3207193624987,28749463552,25885014528,27646754816
39,624,0.0312,1.5466572280482833,0.2418706864118576,0.0001,7615,6108,6.822883860208094,1116.0969695544175,28749463552,25885014528,27646754816
40,640,0.032,1.3742165516260336,0.22442390024662018,9.999983202901413e-05,7022,5981,6.803760705050081,1032.0762743445594,28749463552,25885014528,27646754816
41,656,0.0328,1.5511283084295016,0.21778491139411926,9.999932811718506e-05,7451,6253,6.628985106013715,1124.003128810859,28749463552,25885014528,27646754816
42,672,0.0336,1.6638535781958135,0.2476775199174881,9.999848826789853e-05,8208,7383,8.19653940293938,1001.3982238719564,28749463552,25885014528,27646754816
43,688,0.0344,1.3859458343543654,0.24426905810832977,9.999731248679733e-05,6800,5854,6.291014428716153,1080.9067563031674,28749463552,25885014528,27646754816
44,704,0.0352,1.488491869620398,0.23671314120292664,9.999580078178135e-05,7592,6553,6.915628551039845,1097.8033224266296,28749463552,25885014528,27646754816
45,720,0.036,1.3955185554368268,0.22002945840358734,9.999395316300748e-05,7066,6032,6.478472386021167,1090.689221003174,28749463552,25885014528,27646754816
46,736,0.0368,1.4938902113810204,0.2096511274576187,9.999176964288959e-05,7931,6566,7.258387505076826,1092.6669311128292,28749463552,25885014528,27646754816
47,752,0.0376,1.3744008870647966,0.22144603729248047,9.99892502360984e-05,6361,5560,6.153246427886188,1033.7632458814396,28749463552,25885014528,27646754816
48,768,0.0384,1.4463937602973165,0.2592722475528717,9.99863949595614e-05,6860,5804,5.964216805063188,1150.192929636018,28749463552,25885014528,27646754816
49,784,0.0392,1.4527086634352333,0.2244470715522766,9.998320383246272e-05,7467,6154,6.617290886119008,1128.4073994183047,28749463552,25885014528,27646754816
50,800,0.04,1.5208054151686927,0.22449184954166412,9.997967687624303e-05,7165,6153,6.898190967738628,1038.6781162639859,28749463552,25885014528,27646754816
51,816,0.0408,1.5617491689596827,0.22094498574733734,9.997581411459941e-05,8319,7143,8.319160732906312,999.9806791921118,29273751552,26278154240,28171042816
52,832,0.0416,1.576402501965611,0.2142699807882309,9.997161557348511e-05,7573,6774,7.2849889332428575,1039.5348667508458,29273751552,26278154240,28171042816
