global_step,sample_cursor,coverage_fraction,loss,grad_norm,learning_rate,processed_tokens,supervised_tokens,update_seconds,tokens_per_second,nvml_peak_bytes,allocated_peak_bytes,reserved_peak_bytes
1,16,0.015625,2.1265975656861955,1.2417984008789062,0.0,6951,5924,5.821603183168918,1194.0009961682597,39063257088,23598808064,37962645504
2,32,0.03125,1.6949127944122246,1.2472448348999023,5e-05,6157,5319,5.182458295021206,1188.0462223719267,39063257088,24169387520,37964742656
3,48,0.046875,1.7993709947491197,1.1753100156784058,0.0001,6292,5288,5.26040613790974,1196.1053643094126,39065354240,24169387520,37964742656
4,64,0.0625,1.758391933060918,1.1464695930480957,9.993582535855263e-05,6133,5292,5.349868009798229,1146.3834226877136,39065354240,24169387520,37964742656
5,80,0.078125,1.7474610662906676,0.7085897922515869,9.974346616959476e-05,7549,6303,6.659816142171621,1133.5147756103722,45717520384,25596872704,44614811648
6,96,0.09375,1.6858711577875518,0.4607211947441101,9.942341621640558e-05,6588,5852,5.703264164272696,1155.1279776359665,45717520384,25596872704,44614811648
7,112,0.109375,1.6726547460903585,0.29270249605178833,9.897649706262473e-05,7571,6366,6.533570553641766,1158.7844560398873,45717520384,25596872704,44614811648
8,128,0.125,1.7601756664430794,0.328508585691452,9.840385594331022e-05,8081,6918,7.39228209387511,1093.167156958949,45717520384,25596872704,44614811648
9,144,0.140625,1.7760500781834545,0.3920404613018036,9.770696282000244e-05,7533,6383,6.704544330947101,1123.566289990638,45717520384,25596872704,44614811648
10,160,0.15625,1.7579819273599273,0.4494081139564514,9.688760660735402e-05,7758,6619,7.121690494008362,1089.34809881544,45717520384,25596872704,44614811648
11,176,0.171875,1.4575788041692204,0.3969511091709137,9.594789058101153e-05,7246,6098,6.276760429609567,1154.417168101272,45717520384,25596872704,44614811648
12,192,0.1875,1.4083547208997864,0.428754985332489,9.489022697853709e-05,6758,5681,6.040186918806285,1118.8395476568423,45717520384,25596872704,44614811648
13,208,0.203125,1.3620164606202343,0.3999094069004059,9.371733080722911e-05,6276,5352,5.657897660043091,1109.245938526255,45717520384,25596872704,44614811648
14,224,0.21875,1.6791661871360537,0.2427927553653717,9.243221287473756e-05,8214,7226,8.000411354005337,1026.6972079989027,48020193280,25906831872,46917484544
15,240,0.234375,1.4531459571765675,0.25077909231185913,9.103817206036382e-05,7080,5588,6.279141759965569,1127.5426277426204,48020193280,25906831872,46917484544
16,256,0.25,1.5715519627125742,0.23328091204166412,8.953878684688493e-05,7711,6469,6.767353388015181,1139.4410130341346,48020193280,25906831872,46917484544
17,272,0.265625,1.701296799189863,0.2574561536312103,8.793790613463955e-05,7381,6156,6.595972872339189,1119.0161243617138,48020193280,25906831872,46917484544
18,288,0.28125,1.4676095600474648,0.2433876097202301,8.6239639361456e-05,7461,6551,7.07271299418062,1054.8993018858337,48020193280,25906831872,46917484544
19,304,0.296875,1.662354832621171,0.21656112372875214,8.444834595378434e-05,8764,7851,8.234057449735701,1064.359831528903,48020193280,25906831872,46917484544
20,320,0.3125,1.4494654384134633,0.2664383053779602,8.256862413611113e-05,6475,5478,5.647732991259545,1146.4777123884462,48020193280,25906831872,46917484544
21,336,0.328125,1.5687320716004247,0.2676796615123749,8.060529912738315e-05,7026,6017,6.204520544968545,1132.4001506768511,48020193280,25906831872,46917484544
22,352,0.34375,1.538076035863795,0.25129762291908264,7.856341075473962e-05,7660,6309,7.281856293790042,1051.9295755029439,48020193280,25906831872,46917484544
23,368,0.359375,1.4383677964014057,0.20926453173160553,7.644820051634812e-05,7069,5971,6.1220424911007285,1154.6799961411261,48020193280,25906831872,46917484544
24,384,0.375,1.628804835319519,0.21334423124790192,7.426509812655406e-05,7602,6500,7.150107998866588,1063.2007238499118,48020193280,25906831872,46917484544
25,400,0.390625,1.5445328332006683,0.2001839578151703,7.201970757788172e-05,7651,6684,6.805765793658793,1124.1938426868503,48020193280,25906831872,46917484544
26,416,0.40625,1.5546341435178805,0.2241605818271637,6.971779275566593e-05,6575,5565,5.668588320724666,1159.900777405451,48020193280,25906831872,46917484544
27,432,0.421875,1.4069724272714268,0.19940339028835297,6.736526264224101e-05,7986,6753,7.579580361954868,1053.6203349838634,48020193280,25906831872,46917484544
28,448,0.4375,1.4129598154781944,0.22006763517856598,6.496815614866791e-05,7344,5848,6.848438262939453,1072.3612768391731,48020193280,25906831872,46917484544
29,464,0.453125,1.5402628448121582,0.20758670568466187,6.253262661293604e-05,7937,6934,7.161366370972246,1108.3080502865616,48020193280,25906831872,46917484544
30,480,0.46875,1.4455055206166443,0.20105816423892975,6.006492600443301e-05,7399,6188,6.8318747552111745,1083.0116571379235,48020193280,25906831872,46917484544
31,496,0.484375,1.4726691396027154,0.2105638086795807,5.757138887522884e-05,7139,5913,6.250158078968525,1142.211110471331,48020193280,25906831872,46917484544
32,512,0.5,1.4595840134946583,0.20572327077388763,5.505841609937161e-05,7032,6101,6.163341142237186,1140.939603652623,48020193280,25906831872,46917484544
33,528,0.515625,1.5917934473251498,0.19580726325511932,5.2532458441935636e-05,8197,6870,7.1356211300008,1148.7437254112006,36469080064,23900065792,35368468480
34,544,0.53125,1.3718001834751468,0.20245033502578735,5e-05,7016,6001,5.624664617236704,1247.3632611799767,36469080064,23900065792,35368468480
35,560,0.546875,1.4977149791684468,0.21103888750076294,4.746754155806437e-05,7691,6346,6.556862757075578,1172.969495464971,41886023680,24175916032,40787509248
36,576,0.5625,1.5790346117902405,0.21094532310962677,4.49415839006284e-05,7424,6320,6.333415278233588,1172.195359668659,47946792960,24929253888,46846181376
37,592,0.578125,1.459304086759915,0.2139624059200287,4.2428611124771184e-05,6676,5870,5.915509568993002,1128.5587356655153,47946792960,24929253888,46846181376
38,608,0.59375,1.392148392515171,0.20280492305755615,3.993507399556699e-05,7662,6576,6.541103333234787,1171.3620179442867,47946792960,24929253888,46846181376
39,624,0.609375,1.520943191992979,0.21106809377670288,3.746737338706397e-05,7615,6108,6.723571716807783,1132.5825499806597,47946792960,24929253888,46846181376
40,640,0.625,1.3512173657272994,0.2085062712430954,3.5031843851332104e-05,7022,5981,6.732622416224331,1042.9814069296867,47946792960,24929253888,46846181376
41,656,0.640625,1.528247660414688,0.19829654693603516,3.263473735775899e-05,7451,6253,6.424150240141898,1159.842114750327,47946792960,24929253888,46846181376
42,672,0.65625,1.6437462736125499,0.19578246772289276,3.0282207244334082e-05,8208,7383,7.795650126878172,1052.8948665487321,47946792960,25465945088,46846181376
43,688,0.671875,1.3685231525660946,0.213572695851326,2.798029242211828e-05,6800,5854,6.160451374016702,1103.8152218327311,47946792960,25465945088,46846181376
44,704,0.6875,1.474242656035913,0.21218855679035187,2.573490187344596e-05,7592,6553,6.785421519074589,1118.8693257534594,47946792960,25465945088,46846181376
45,720,0.703125,1.384101128269886,0.23806145787239075,2.3551799483651894e-05,7066,6032,6.384355423040688,1106.7679556967184,47946792960,25465945088,46846181376
46,736,0.71875,1.4833291843646987,0.19921405613422394,2.1436589245260376e-05,7931,6566,7.104829597752541,1116.2829299254129,47946792960,25465945088,46846181376
47,752,0.734375,1.3626977600318064,0.21127942204475403,1.9394700872616855e-05,6361,5560,6.067638078704476,1048.3486189338043,47946792960,25465945088,46846181376
48,768,0.75,1.4367592003347953,0.24368023872375488,1.7431375863888898e-05,6860,5804,5.910272859968245,1160.6909126758756,47946792960,25465945088,46846181376
49,784,0.765625,1.4456645416911251,0.20845945179462433,1.555165404621567e-05,7467,6154,6.562718338798732,1137.7907163644618,47946792960,25465945088,46846181376
50,800,0.78125,1.5179508815020173,0.21058890223503113,1.3760360638544012e-05,7165,6153,6.983135262038559,1026.0434219211086,47946792960,25465945088,46846181376
51,816,0.796875,1.5564864447483007,0.19721195101737976,1.2062093865360458e-05,8319,7143,8.022490744944662,1036.959750342147,47946792960,26294145024,46846181376
52,832,0.8125,1.5730887595745606,0.20194627344608307,1.046121315311508e-05,7573,6774,7.259825730230659,1043.137987247442,47946792960,26294145024,46846181376
53,848,0.828125,1.4293913119253905,0.21770471334457397,8.961827939636196e-06,6821,5750,6.301150761079043,1082.5006825946718,47946792960,26294145024,46846181376
54,864,0.84375,1.524030012373662,0.21144801378250122,7.5677871252624485e-06,6974,5820,6.436392295174301,1083.5262488939295,47946792960,26294145024,46846181376
55,880,0.859375,1.6089023981599944,0.18951515853405,6.282669192770896e-06,8731,7564,8.107854416128248,1076.8570267655748,47946792960,26294145024,46846181376
56,896,0.875,1.1206887889744448,0.2427213490009308,5.109773021462921e-06,6350,5076,5.562403274234384,1141.592884754301,47946792960,26294145024,46846181376
57,912,0.890625,1.4013696231245352,0.22249461710453033,4.05210941898847e-06,6565,5562,6.238584763370454,1052.322000743835,47946792960,26294145024,46846181376
58,928,0.90625,1.291967848594835,0.20862337946891785,3.112393392645985e-06,6879,6102,6.948016528040171,990.0667294383022,47946792960,26294145024,46846181376
59,944,0.921875,1.419125631049321,0.1940033882856369,2.2930371799975594e-06,8213,7186,9.080811884719878,904.4345488336643,48200548352,28483435520,47097839616
60,960,0.9375,1.4049493439931333,0.22193795442581177,1.5961440566897912e-06,6762,5608,6.317061340902001,1070.4344370090394,48200548352,28483435520,47097839616
61,976,0.953125,1.6742791297084996,0.21181976795196533,1.0235029373752758e-06,7773,6566,7.058016226161271,1101.3009535439387,48200548352,28483435520,47097839616
62,992,0.96875,1.3924850225657857,0.22103528678417206,5.765837835944309e-07,6693,5697,5.950186666101217,1124.8386606307095,48200548352,28483435520,47097839616
63,1008,0.984375,1.4744914878768551,0.20393557846546173,2.5653383040524227e-07,7339,6419,6.9284155941568315,1059.2609378382901,48200548352,28483435520,47097839616
64,1024,1.0,1.413655098345465,0.21462522447109222,6.417464144736208e-08,7166,5827,6.713227669708431,1067.4448048789673,48200548352,28483435520,47097839616
