window,training_groups,optimizer_steps,policy_version,generated_groups,window_generated_groups,rollout_tokens,output_tokens,prompt_tokens,window_amplification,cumulative_amplification,selected_groups,expired_eligible_overflow,selected_group_yield,all_wrong,mixed,all_correct,mixed_parsed_wrong,mixed_unparseable_only,mixed_both,output_tokens_selected,output_tokens_overflow_eligible,output_tokens_rejected_all_correct,output_tokens_rejected_all_wrong,first_mini_clip,second_mini_clip,ratio_min,ratio_max,grad_norm_max,entropy_mean,response_length_mean,response_length_p95,truncation,parameter_delta_l2,sleep_seconds,wake_seconds,sync_seconds,actor_process_seconds,nvml_peak_bytes
1,8,2,f11e6a178791fb79cb4d48b4f5d905da0aa9af1d031f804b2f0fb0b58a42937d,16,16,17251,15111,2140,2.0,2.0,8,0,0.5,0.125,0.5,0.375,3,3,2,6747,0,6266,2098,0.0,0.625,0.990957498550415,1.0222406387329102,2.344834804534912,0.6552902900148183,236.109375,324.0,0.0,0.013953539462802405,68.6133804586716,1.1214800169691443,1.632487982045859,193.7739624758251,35235233792
2,16,4,fdef74fac4a336cf01e3a315e6916e5c9daea2a8a4cae9ae9149ccdb68fb7d12,32,16,34890,30593,4297,2.0,2.0,8,2,0.5,0.1875,0.625,0.1875,6,3,1,8117,2019,2972,2374,0.0,0.75,0.9831384420394897,1.0068519115447998,0.4977039694786072,0.7095196787267923,241.90625,333.4,0.0,0.010398836171094803,0.8498321929946542,1.0509969559498131,1.2885128371417522,60.166306188330054,35235233792
3,24,6,bd569a92d417a6aa0755c5854bb3c384969485e4b81683bb7ff046d945c88b47,48,16,53011,46522,6489,2.0,2.0,8,3,0.5,0.0625,0.6875,0.25,8,2,1,8445,2931,3631,922,0.0,0.5,0.9958145022392273,1.0070817470550537,0.3069818615913391,0.7415266103344038,248.890625,368.7999999999997,0.0,0.007651612542366147,0.8490895098075271,1.121890177950263,1.6593076162971556,57.52458220999688,35235233792
4,32,8,8d3dd2bed50d13025f97d0ce4090a750c2d2773be785164ee56c5ef4ac050057,72,24,82582,72386,10196,3.0,2.25,8,3,0.3333333333333333,0.16666666666666666,0.4583333333333333,0.375,10,1,0,9678,3130,8876,4180,0.0,0.5,0.9928156137466431,1.0029751062393188,0.28895366191864014,0.7513413764536381,269.4166666666667,396.25,0.0,0.0063915214748836244,0.85011001303792,1.127354932948947,1.8673431710340083,62.3993064891547,35235233792
5,40,10,99b731019f358cc137677ff5fdd385be5e0a23cb5b11b574772e8db8a853bc14,88,16,101763,89509,12254,2.0,2.2,8,0,0.5,0.375,0.5,0.125,7,1,0,8472,0,2256,6395,0.0,0.375,0.9793917536735535,1.003138542175293,0.291264146566391,0.6623563142493367,267.546875,374.7499999999999,0.0,0.0054577314352729335,0.8487669387832284,1.1163024669513106,1.6850280542857945,59.7745322259143,35235233792
6,48,12,93573ef27cc35e45dffadf325a2f7136665504a17f440862068f04e5d1614485,104,16,121944,107471,14473,2.0,2.1666666666666665,8,0,0.5,0.25,0.5,0.25,7,0,1,9274,0,4568,4120,0.0,0.5625,0.9951804876327515,1.0088571310043335,0.451921284198761,0.8026658203452826,280.65625,390.94999999999993,0.0,0.005223391468015615,0.8491825200617313,1.1224801102653146,1.6827254723757505,60.591227155178785,35235233792
7,56,14,debc91f6cf055a4cb995ad3a89d7a24ba74ab381e3506a70a3f63a7c6c0bfb25,128,24,150282,132522,17760,3.0,2.2857142857142856,8,1,0.3333333333333333,0.25,0.375,0.375,8,1,0,9038,1078,9328,5607,0.0,0.6875,0.9945077896118164,1.0061899423599243,0.49231094121932983,0.7499969177879393,260.9479166666667,381.5,0.0,0.005835583929897751,0.8491289308294654,1.117038929834962,1.7225221870467067,63.75780952908099,35235233792
8,64,16,989b31f04e9277818a8867ab462128de9eff3b174667075e1aa4191ec76ae3a1,144,16,170711,150704,20007,2.0,2.25,8,2,0.5,0.1875,0.625,0.1875,9,0,1,8946,1885,3631,3720,0.0,0.625,0.9948623776435852,1.0050947666168213,0.2937313914299011,0.7365528251975775,284.09375,377.85,0.0,0.005119420107322268,0.8476162422448397,1.1228878973051906,1.6988581353798509,58.187265306245536,35235233792
9,72,18,4ff97879b94e42732010b038ce9dbe4b70a08938d38ca1e91697082ce75af72d,160,16,189780,167723,22057,2.0,2.2222222222222223,8,0,0.5,0.125,0.5,0.375,6,2,0,9435,0,5753,1831,0.0,0.5,0.9953660368919373,1.007749080657959,0.2969004511833191,0.7541202837601304,265.921875,359.49999999999994,0.0,0.0045754493429579135,0.8473698031157255,1.1286090640351176,1.8941592629998922,61.81243820115924,35235233792
10,80,20,e55b0ed6fa929bc4f4ab54f79b125c64c99a3b9046348c2ca79fcc692fee884c,184,24,218678,193206,25472,3.0,2.3,8,2,0.3333333333333333,0.2916666666666667,0.4166666666666667,0.2916666666666667,9,1,0,8986,2386,6484,7627,0.0,0.3125,0.9885894656181335,1.005124568939209,0.3106859624385834,0.7338436562567949,265.4479166666667,356.25,0.0,0.004257140544309134,0.8492507180199027,1.1196249229833484,1.903300256934017,58.730746780056506,35235233792
11,88,22,dd6d5316f807ab0628f034cfbdd9770d5032b9bfa4bd0c2da2f01cabc7d606eb,200,16,236713,209233,27480,2.0,2.272727272727273,8,0,0.5,0.1875,0.5,0.3125,8,0,0,8550,0,4227,3250,0.0,0.4375,0.9934444427490234,1.0040593147277832,0.2867646813392639,0.7314401213079691,250.421875,378.49999999999994,0.0,0.004043912897586991,0.8466013479046524,1.1260585589334369,1.8943446082994342,58.88970783399418,35235233792
12,96,24,13587661e0ba198613db6a16c84710906602fc5a1c840c03a9b7d70ee355199c,216,16,255285,225776,29509,2.0,2.25,8,2,0.5,0.125,0.625,0.25,10,0,0,8555,1956,4108,1924,0.0,0.5625,0.9937787652015686,1.0039138793945312,0.3301306664943695,0.8405911345034838,258.484375,335.25,0.0,0.003961568494295686,0.8475467902608216,1.1236739670857787,1.507679013069719,58.789661773946136,35235233792
13,104,26,38fda6eef493861ea830d89ea84c44bef10516d19a694a751a0d7ffad2d22fa2,240,24,283179,250459,32720,3.0,2.3076923076923075,8,2,0.3333333333333333,0.2916666666666667,0.4166666666666667,0.2916666666666667,9,1,0,8054,1907,7019,7703,0.0,0.4375,0.9949765801429749,1.007405161857605,1.8524328470230103,0.7035933905281126,257.1145833333333,354.5,0.0,0.005140854150086349,0.8497763858176768,1.120346900075674,1.7124749068170786,59.223737395368516,35235233792
14,112,28,da5ee7afc10ab1df963c8a507b2d4e6934940d6f456b8e80c30ffc0378beaeb7,256,16,301848,267144,34704,2.0,2.2857142857142856,8,1,0.5,0.0625,0.5625,0.375,9,0,0,8519,1183,6027,956,0.0,0.5625,0.9945160150527954,1.0038418769836426,0.33126387000083923,0.7544522490352392,260.703125,365.25,0.0,0.004723458426383422,0.8669474627822638,1.1242746971547604,1.894468640908599,68.3062100787647,35235233792
15,120,30,d31ec3bc3f3eef1ad2c897c955db546272c76bf1b29801f1d9cc4d2d27f48a8d,272,16,320329,283568,36761,2.0,2.2666666666666666,8,0,0.5,0.0625,0.5,0.4375,6,0,2,8125,0,7430,869,0.0,0.4375,0.994227945804596,1.005340576171875,0.4331817328929901,0.7707609857898206,256.625,329.25,0.0,0.004802021576722062,0.8482936131767929,1.15268365573138,1.7117295321077108,60.24034637724981,35235233792
16,128,32,eedf9905ae011edc569c16917ae35fd687387752e5baf1b52a3948b835e9d744,288,16,339605,300694,38911,2.0,2.25,8,0,0.5,0.1875,0.5,0.3125,6,1,1,8782,0,5219,3125,0.0,0.3125,0.9875327348709106,1.0043877363204956,0.5659791827201843,0.763342123478651,267.59375,352.7,0.0,0.005214648561483402,0.8481068792752922,1.1441939026117325,1.6871755202300847,59.45750846667215,35235233792
17,136,34,a5b282e4a917ad285df93ad02632b16604c7a80527bf6a321e7759bfc3a6658a,304,16,360415,319184,41231,2.0,2.235294117647059,8,0,0.5,0.1875,0.5,0.3125,8,0,0,9481,0,5579,3430,0.0,0.5,0.9955438375473022,1.0094647407531738,0.2907986342906952,0.7938785143196583,288.90625,383.4,0.0,0.0047386341010837,0.8470743717625737,1.1271289670839906,1.7343682320788503,62.84870903706178,35235233792
