variant,milestone,training_groups,optimizer_steps,accuracy,correct_count,generated_groups,rollout_tokens,overshoot_tokens,strict_format,unparseable,truncation
vanilla,1000000,832,208,0.626953125,321,832,1004188,4188,0.99609375,0.00390625,0.001953125
dynamic,1000000,344,86,0.609375,312,840,1003233,3233,0.998046875,0.001953125,0.0
vanilla,2000000,1656,414,0.64453125,330,1656,2006239,6239,0.99609375,0.00390625,0.0
dynamic,2000000,632,158,0.61328125,314,1672,2007135,7135,0.9921875,0.0078125,0.00390625
vanilla,3000000,2496,624,0.65234375,334,2496,3002736,2736,1.0,0.0,0.0
dynamic,3000000,912,228,0.615234375,315,2512,3005154,5154,0.998046875,0.001953125,0.001953125
vanilla,4000000,3328,832,0.623046875,319,3328,4005590,5590,0.99609375,0.00390625,0.001953125
dynamic,4000000,1216,304,0.662109375,339,3360,4019290,19290,0.99609375,0.00390625,0.0
vanilla,5000000,4168,1042,0.658203125,337,4168,5003987,3987,0.99609375,0.00390625,0.001953125
dynamic,5000000,1496,374,0.65234375,334,4200,5018442,18442,0.99609375,0.00390625,0.0
