variant,milestone,training_groups,optimizer_steps,accuracy,correct_count,generated_groups,rollout_tokens,overshoot_tokens,strict_format,unparseable,truncation
vanilla,0,0,0,0.55078125,282,0,0,0,0.982421875,0.017578125,0.001953125
dynamic,0,0,0,0.55078125,282,0,0,0,0.982421875,0.017578125,0.001953125
vanilla,512,512,128,0.580078125,297,512,615203,0,0.99609375,0.00390625,0.001953125
dynamic,512,512,128,0.607421875,311,1360,1633072,0,1.0,0.0,0.0
vanilla,1024,1024,256,0.625,320,1024,1242991,0,0.998046875,0.001953125,0.0
dynamic,1024,1024,256,0.640625,328,2840,3396332,0,0.990234375,0.009765625,0.00390625
vanilla,1536,1536,384,0.646484375,331,1536,1859493,0,1.0,0.0,0.0
dynamic,1536,1536,384,0.662109375,339,4328,5171168,0,0.994140625,0.005859375,0.00390625
vanilla,2048,2048,512,0.62890625,322,2048,2474486,0,0.998046875,0.001953125,0.0
dynamic,2048,2048,512,0.6640625,340,5864,6981966,0,0.990234375,0.009765625,0.00390625
vanilla,2560,2560,640,0.6328125,324,2560,3080974,0,0.998046875,0.001953125,0.001953125
dynamic,2560,2560,640,0.66015625,338,7440,8820634,0,0.982421875,0.017578125,0.013671875
vanilla,3072,3072,768,0.640625,328,3072,3698328,0,0.99609375,0.00390625,0.0
dynamic,3072,3072,768,0.658203125,337,8928,10549742,0,0.98828125,0.01171875,0.0078125
vanilla,3584,3584,896,0.640625,328,3584,4307922,0,0.99609375,0.00390625,0.001953125
dynamic,3584,3584,896,0.673828125,345,10520,12408163,0,0.994140625,0.005859375,0.001953125
vanilla,4096,4096,1024,0.63671875,326,4096,4920242,0,0.99609375,0.00390625,0.001953125
dynamic,4096,4096,1024,0.677734375,347,12080,14213722,0,0.9921875,0.0078125,0.005859375
vanilla,4608,4608,1152,0.66015625,338,4608,5516990,0,1.0,0.0,0.0
dynamic,4608,4608,1152,0.693359375,355,13680,16065698,0,0.9921875,0.0078125,0.005859375
vanilla,5000,5000,1250,0.67578125,346,5000,5964478,0,0.998046875,0.001953125,0.0
dynamic,5000,5000,1250,0.685546875,351,14872,17443344,0,0.994140625,0.005859375,0.001953125
