window,training_groups,optimizer_steps,policy_version,generated_groups,window_generated_groups,rollout_tokens,output_tokens,prompt_tokens,window_amplification,cumulative_amplification,selected_groups,expired_eligible_overflow,selected_group_yield,all_wrong,mixed,all_correct,mixed_parsed_wrong,mixed_unparseable_only,mixed_both,output_tokens_selected,output_tokens_overflow_eligible,output_tokens_rejected_all_correct,output_tokens_rejected_all_wrong,first_mini_clip,second_mini_clip,ratio_min,ratio_max,grad_norm_max,entropy_mean,response_length_mean,response_length_p95,truncation,parameter_delta_l2,sleep_seconds,wake_seconds,sync_seconds,actor_process_seconds,nvml_peak_bytes
1,8,2,2accabf250cf81c650de7dfef5968cc8b1b1c1d447f1c8197660dcf46f92343e,8,8,7917,6902,1015,1.0,1.0,8,0,1.0,0.125,0.75,0.125,2,2,2,6902,0,0,0,0.0,0.5,0.9908950328826904,1.0073275566101074,1.901965618133545,0.6215316178277135,215.6875,310.15,0.0,0.014959927184754753,7.276904677040875,1.1149709057062864,1.9677379298955202,60.761792422737926,34878717952
2,16,4,2c1e3964c7ef1cb1a1fd19de29957f3811b8107e2f335a11aacdffa15322cf6f,16,8,17662,15522,2140,1.0,1.0,8,0,1.0,0.0,0.5,0.5,3,0,1,8620,0,0,0,0.0,0.375,0.9971321225166321,1.0156062841415405,0.3070714473724365,0.7032867902889848,269.375,343.9,0.0,0.00881747449560427,0.8446240471675992,1.1170516018755734,1.9958437690511346,61.17445284407586,34878717952
3,24,6,95ad9bbdbfeee96364251394fb165ba87c2ad198e5f4d8ec45802319fe37e142,24,8,26557,23285,3272,1.0,1.0,8,0,1.0,0.25,0.75,0.0,5,1,0,7763,0,0,0,0.0,0.4375,0.9611648321151733,1.0202574729919434,1.5962646007537842,0.7151582036167383,242.59375,351.35,0.0,0.008170599040454724,0.845193482004106,1.1283949729986489,1.8281535003334284,65.09053358994424,34887106560
4,32,8,940222d8375e5d125f1dc7f9c6d9f6c508774c7062f43b86a396552ac04638a3,32,8,35640,31343,4297,1.0,1.0,8,0,1.0,0.125,0.5,0.375,3,1,0,8058,0,0,0,0.0,0.625,0.9922008514404297,1.0034548044204712,0.5227773189544678,0.7308245250023901,251.8125,317.25,0.0,0.00720224861541842,0.8654608330689371,1.1251559923402965,1.945176722947508,63.168903271202,34887106560
5,40,10,6239c28f229f6b8999c85623b821875371ad92aabaf394c2ed9d1b3431be193a,40,8,45605,40227,5378,1.0,1.0,8,0,1.0,0.125,0.625,0.25,5,0,0,8884,0,0,0,0.0,0.5625,0.9948228597640991,1.0045552253723145,0.23659853637218475,0.7633941452950239,277.625,368.25,0.0,0.0061730546474290425,0.8470101421698928,1.1192800980061293,1.8919267980381846,62.75330656720325,34947923968
6,48,12,eb6438e8eb0b43f146d24923c796bfd9917a26b0b1affd2bb5c8bdf5cee565c4,48,8,54647,48158,6489,1.0,1.0,8,0,1.0,0.125,0.5,0.375,3,0,1,7931,0,0,0,0.0,0.375,0.9943011403083801,1.0084234476089478,0.49260014295578003,0.7437967481091619,247.84375,359.59999999999997,0.0,0.005668116393322528,0.8458240400068462,1.1103688823059201,1.7138009378686547,60.29222234617919,34947923968
7,56,14,1027cb097fa8634129fd9dfee054a80186c8973dfe89acc4d71c4baba679644a,56,8,64412,56781,7631,1.0,1.0,8,0,1.0,0.0,0.625,0.375,3,1,1,8623,0,0,0,0.0,0.5,0.9726088643074036,1.0058780908584595,0.3072521388530731,0.7462853016331792,269.46875,378.45,0.0,0.005332974228644633,0.8467645761556923,1.1141487313434482,1.7242480581626296,63.22743910783902,34947923968
8,64,16,163b3fe0410fbcf2df10d1c23b22d1ab9eccf9a8fddf861ed0c4419f198849d3,64,8,74335,65327,9008,1.0,1.0,8,0,1.0,0.25,0.5,0.25,4,0,0,8546,0,0,0,0.0,0.375,0.9888108968734741,1.004584550857544,0.2723856568336487,0.7349163815379143,267.0625,347.45,0.0,0.004654436429004366,0.8467487748712301,1.1228337376378477,1.6897659050300717,57.64695659792051,34947923968
9,72,18,3b1797c59130ba367e77c87628ecc56b2098602c291664b7a792751104b94faa,72,8,83853,73657,10196,1.0,1.0,8,0,1.0,0.125,0.75,0.125,4,1,1,8330,0,0,0,0.0,0.125,0.993026614189148,1.003639817237854,0.7508479952812195,0.7809179467149079,260.3125,347.35,0.0,0.004784752318469802,0.8469492690637708,1.1191123658791184,1.7091376930475235,59.64266262901947,34947923968
10,80,20,e9f0867b6683c44b097d6ecde95a01aad79aac6cb351662816d37b01134ba438,80,8,94022,82770,11252,1.0,1.0,8,0,1.0,0.625,0.25,0.125,2,0,0,9113,0,0,0,0.0,0.25,0.9951497316360474,1.0048431158065796,0.14412881433963776,0.7319854833185673,284.78125,391.65,0.0,0.004747860032272212,0.8460843968205154,1.121851204894483,1.9055165210738778,63.45804803771898,34947923968
11,88,22,e5e8c88f9263c3e5a42d3a43c40236d1917dc1170711ae1d35639dcd8c2e98e7,88,8,103370,91116,12254,1.0,1.0,8,0,1.0,0.0,0.75,0.25,5,1,0,8346,0,0,0,0.0,0.3125,0.974885106086731,1.0064598321914673,0.31249096989631653,0.6471340372227132,260.8125,352.29999999999995,0.0,0.004276823179037531,0.8467297041788697,1.1233041980303824,1.9455029107630253,59.661851048935205,34947923968
12,96,24,25582c9406c710367f6df727c7a8b7b2a2e9de83cb7ba6863d3789d5fd0448c3,96,8,113705,100272,13433,1.0,1.0,8,0,1.0,0.375,0.375,0.25,3,0,0,9156,0,0,0,0.0,0.375,0.9936804175376892,1.0045329332351685,0.23180195689201355,0.8032930642366409,286.125,376.25,0.0,0.0038049117179289028,0.8474512347020209,1.114613835234195,1.626618115697056,57.75881832605228,34947923968
